diagonal_blocks/0/block/0,diagonal_blocks/0/block/1,diagonal_blocks/0/block/2,diagonal_blocks/0/block/3,diagonal_blocks/0/block/4,diagonal_blocks/0/block/5,diagonal_blocks/0/block/6,diagonal_blocks/0/block/7,diagonal_blocks/0/block/8,diagonal_blocks/0/block/9,diagonal_blocks/0/block/10,diagonal_blocks/0/block/11,diagonal_blocks/0/block/12,diagonal_blocks/0/block/13,diagonal_blocks/0/block/14,diagonal_blocks/0/block/15,diagonal_blocks/0/block/16,diagonal_blocks/0/block/17,diagonal_blocks/0/block/18,diagonal_blocks/0/block/19,diagonal_blocks/0/block/20,diagonal_blocks/0/block_idx,linear_iterations,newton_iteration,newton_residual/angular,newton_residual/linear,preconditioner,rhs/0,rhs/1,rhs/2,rhs/3,rhs/4,rhs/5,solution/0,solution/1,solution/2,solution/3,solution/4,solution/5,stage,status,system_size,relative_residuals/0,relative_residuals/1,relative_residuals/2,relative_residuals/3,relative_residuals/4
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499205,1.476615,0,0,0,-0.2335935,0.4414705,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499212,1.476615,0,0,0,-0.2335935,0.4414715,9.656097,0,4,0,0.00001208836,0.000001559601,100,0.000002249576,0.000008138021,-0.000002907368,-0.00008954107,7.937751e-8,-0.00006919998,3.928927e-7,0.000001421321,-5.077773e-7,-0.000009560445,-9.320411e-11,-0.00000739773,velocity,Success,6,1,0.03052396,0.0004970616,0.00006541027,3.487197e-9
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499212,1.476615,0,0,0,-0.2335935,0.4414715,9.656097,0,0,1,7.072542e-13,1.171857e-13,100,1.627335e-13,-6.50934e-13,0,4.338023e-12,-3.929498e-13,4.154929e-12,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499212,1.476615,0,0,0,-0.2335935,0.4414715,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499208,1.476615,0,0,0,-0.2335935,0.441471,9.656097,0,0,0,3.650242e-9,0.000001151842,100,-0.000001528914,-0.000006103516,0.000001975979,2.701272e-8,6.76218e-11,2.091994e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499208,1.476615,0,0,0,-0.2335935,0.441471,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499204,1.476615,0,0,0,-0.2335935,0.4414705,9.656097,0,0,0,3.650242e-9,0.000001151842,100,-0.000001528914,-0.000006103516,0.000001975979,2.701272e-8,6.761786e-11,2.091994e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499204,1.476615,0,0,0,-0.2335935,0.4414705,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.34992,1.476615,0,0,0,-0.2335935,0.44147,9.656097,0,0,0,3.650242e-9,0.000001151842,100,-0.000001528914,-0.000006103516,0.000001975979,2.701273e-8,6.761403e-11,2.091994e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.34992,1.476615,0,0,0,-0.2335935,0.44147,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499197,1.476614,0,0,0,-0.2335935,0.4414696,9.656097,0,0,0,0.000005714231,0.000001151842,100,-0.000001528914,-0.000006103516,0.000001975979,0.00004232652,-3.749585e-8,0.0000327112,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499197,1.476614,0,0,0,-0.2335935,0.4414696,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499193,1.476614,0,0,0,-0.2335935,0.4414691,9.656097,0,4,0,0.00001233252,0.000001151842,100,-0.000001528914,-0.000006103516,0.000001975979,0.00009134965,-8.103098e-8,0.00007059766,-2.670278e-7,-0.000001065991,3.451084e-7,0.000009753549,6.233103e-11,0.000007547148,velocity,Success,6,1,0.02214704,0.0004974432,0.00006528831,9.717778e-9
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499193,1.476614,0,0,0,-0.2335935,0.4414691,9.656097,0,0,1,2.262149e-13,2.842171e-14,100,0,0,1.627335e-13,7.915696e-14,-3.340321e-13,-9.986687e-14,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499193,1.476614,0,0,0,-0.2335935,0.4414691,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.34992,1.476615,0,0,0,-0.2335935,0.44147,9.656097,0,0,0,6.889148e-9,0.000001156882,100,0.000001574961,0.000006103516,-0.000002035458,-5.10132e-8,-1.659428e-11,-3.945555e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.34992,1.476615,0,0,0,-0.2335935,0.44147,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499207,1.476615,0,0,0,-0.2335935,0.4414708,9.656097,0,0,0,0.000005196585,0.000001156882,100,0.000001574961,0.000006103516,-0.000002035458,-0.00003849221,3.412072e-8,-0.00002974792,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499207,1.476615,0,0,0,-0.2335935,0.4414708,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499213,1.476615,0,0,0,-0.2335935,0.4414718,9.656097,0,4,0,0.00001442883,0.000001156882,100,0.000001574961,0.000006103516,-0.000002035458,-0.0001068775,9.485029e-8,-0.000082598,2.750698e-7,0.000001065991,-3.554965e-7,-0.00001141148,-4.110356e-11,-0.000008830029,velocity,Success,6,1,0.01902667,0.0004974096,0.00006513217,9.878749e-10
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499213,1.476615,0,0,0,-0.2335935,0.4414718,9.656097,0,0,1,1.46898e-12,2.308991e-13,100,1.627335e-13,-1.301868e-12,1.627335e-13,-1.281262e-11,-1.662416e-13,-4.204811e-12,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499213,1.476615,0,0,0,-0.2335935,0.4414718,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499209,1.476615,0,0,0,-0.2335935,0.441471,9.656097,0,0,0,5.441094e-9,0.00000118919,100,-0.00000184692,-0.000006103516,0.000002386903,4.029427e-8,3.472111e-12,3.115806e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499209,1.476615,0,0,0,-0.2335935,0.441471,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499203,1.476615,0,0,0,-0.2335935,0.4414704,9.656097,0,0,0,5.441094e-9,0.00000118919,100,-0.00000184692,-0.000006103516,0.000002386903,4.029427e-8,3.46434e-12,3.115806e-8,0,0,0,0,0,0,velocity,Incomplete,6,,,,,
5.725676,0,5.725676,0,0,5.725676,0,0,0,9.546539,0,0,0,-0.3499203,1.476615,0,0,0,-0.2335935,0.4414704,9.656097,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,position,Incomplete,6,,,,,
